Version	1
Run name	C:\Users\Jenny\Desktop\David A\LSPR Lab 18\skalman_lspr.inr
Export time	2018-02-20 16:58
Pos1 sample	Label for Pos1
Pos2 sample	
Spectrometer integration time	3
Spectrometer sample averages	300
pos1-Centroid_x	pos1-Centroid_y	pos1-FWHM(wp)_x	pos1-FWHM(wp)_y	pos1-FWHM(lw*2)_x	pos1-FWHM(lw*2)_y	pos1-Ext@Peak_x	pos1-Ext@Peak_y	pos1-PeakPos_x	pos1-PeakPos_y	pos1-ExtDiff_x	pos1-ExtDiff_y
1.446563E2	7.553779E2	1.446563E2	2.056762E2	1.446563E2	2.265188E2	1.446563E2	6.256407E-1	1.446563E2	7.543503E2	1.446563E2	2.125307E-1
1.464844E2	7.553802E2	1.464844E2	2.054422E2	1.464844E2	2.261050E2	1.464844E2	6.255172E-1	1.464844E2	7.543590E2	1.464844E2	2.125493E-1
1.483125E2	7.553803E2	1.483125E2	2.056746E2	1.483125E2	2.264071E2	1.483125E2	6.256655E-1	1.483125E2	7.543467E2	1.483125E2	2.125156E-1
1.501406E2	7.553757E2	1.501406E2	2.056951E2	1.501406E2	2.264371E2	1.501406E2	6.256348E-1	1.501406E2	7.543447E2	1.501406E2	2.125228E-1
1.519688E2	7.553642E2	1.519688E2	2.055045E2	1.519688E2	2.263350E2	1.519688E2	6.255546E-1	1.519688E2	7.543331E2	1.519688E2	2.125093E-1
1.537969E2	7.553735E2	1.537969E2	2.054904E2	1.537969E2	2.263073E2	1.537969E2	6.255717E-1	1.537969E2	7.543413E2	1.537969E2	2.126047E-1
1.556250E2	7.553717E2	1.556250E2	2.053667E2	1.556250E2	2.260657E2	1.556250E2	6.254838E-1	1.556250E2	7.543450E2	1.556250E2	2.125677E-1
1.574688E2	7.553702E2	1.574688E2	2.054229E2	1.574688E2	2.261779E2	1.574688E2	6.254753E-1	1.574688E2	7.543421E2	1.574688E2	2.125840E-1
1.592969E2	7.553775E2	1.592969E2	2.055379E2	1.592969E2	2.263587E2	1.592969E2	6.255658E-1	1.592969E2	7.543473E2	1.592969E2	2.126539E-1
1.611250E2	7.553746E2	1.611250E2	2.052072E2	1.611250E2	2.258746E2	1.611250E2	6.253585E-1	1.611250E2	7.543480E2	1.611250E2	2.126345E-1
1.629531E2	7.553731E2	1.629531E2	2.054457E2	1.629531E2	2.261277E2	1.629531E2	6.254980E-1	1.629531E2	7.543411E2	1.629531E2	2.126600E-1
1.647813E2	7.553839E2	1.647813E2	2.056325E2	1.647813E2	2.265014E2	1.647813E2	6.256618E-1	1.647813E2	7.543524E2	1.647813E2	2.127171E-1
1.666094E2	7.553808E2	1.666094E2	2.051327E2	1.666094E2	2.258629E2	1.666094E2	6.253506E-1	1.666094E2	7.543584E2	1.666094E2	2.126997E-1
1.684375E2	7.553900E2	1.684375E2	2.053446E2	1.684375E2	2.261135E2	1.684375E2	6.255200E-1	1.684375E2	7.543611E2	1.684375E2	2.127970E-1
1.702656E2	7.553820E2	1.702656E2	2.050047E2	1.702656E2	2.256802E2	1.702656E2	6.253284E-1	1.702656E2	7.543525E2	1.702656E2	2.127171E-1
1.720938E2	7.553810E2	1.720938E2	2.049577E2	1.720938E2	2.254952E2	1.720938E2	6.252396E-1	1.720938E2	7.543549E2	1.720938E2	2.126973E-1
1.739375E2	7.553762E2	1.739375E2	2.047905E2	1.739375E2	2.253924E2	1.739375E2	6.251927E-1	1.739375E2	7.543428E2	1.739375E2	2.127860E-1
1.757656E2	7.553768E2	1.757656E2	2.048230E2	1.757656E2	2.254586E2	1.757656E2	6.251635E-1	1.757656E2	7.543466E2	1.757656E2	2.128088E-1
